date,disease,region,cases
2026-03-01,Flu,Hyderabad,10
2026-03-05,Flu,Hyderabad,15
2026-03-10,Flu,Hyderabad,12
2026-03-15,Flu,Hyderabad,20
2026-03-20,Flu,Hyderabad,18
2026-03-25,Flu,Hyderabad,22
2026-03-01,Dengue,Hyderabad,5
2026-03-05,Dengue,Hyderabad,8
2026-03-10,Dengue,Hyderabad,6
2026-03-15,Dengue,Hyderabad,10
2026-03-20,Dengue,Hyderabad,7
2026-03-25,Dengue,Hyderabad,9
2026-03-01,Covid-19,Mumbai,100
2026-03-05,Covid-19,Mumbai,150
2026-03-10,Covid-19,Mumbai,200
2026-03-15,Covid-19,Mumbai,180
2026-03-20,Covid-19,Mumbai,160
2026-03-25,Covid-19,Mumbai,175
